# TestName Variant NumThreads   MinTime MedianTime MaxTime
#    
# Mon Oct 10 06:07:02 EDT 2011
# Linux hulk.soic.indiana.edu 2.6.32-131.12.1.el6.x86_64 #1 SMP Sun Jul 31 16:44:56 EDT 2011 x86_64 x86_64 x86_64 GNU/Linux
# Determined machine to have 16 hardware threads.
# The Glorious Glasgow Haskell Compilation System, version 7.2.1
# 
# Running each test for 3 trials.
#  ... with default compiler options:  -O2 -rtsopts
#  ... with default runtime options:  -qa
# Benchmarks_File: benchlist.txt
# Benchmarks_Variant: desktop
# Benchmarks_Version: 1.0
# Using the following settings from the benchmarking environment:
# BENCHLIST=  THREADSETTINGS=1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16  TRIALS=3  SHORTRUN=  KEEPGOING=1  GHC=  GHC_FLAGS=  GHC_RTS=
# *** Config [0 ..], testing with command/args: parfib_monad.exe trace 36 
mandel.exe 2000 9 1.79 2.42 3.31

mandel.exe 2000 10 1.97 1.98 2.98

mandel.exe 2000 11 2.12 2.82 3.16

mandel.exe 2000 12 2.08 2.10 2.25

mandel.exe 2000 13 2.16 2.22 2.57

mandel.exe 2000 14 2.62 2.65 3.65

mandel.exe 2000 15 2.34 2.82 2.95

mandel.exe 2000 16 2.57 2.87 3.09



# *** Config [96 ..], testing with command/args: coins.exe 8 1250 
coins.exe 8 1 4.87 4.87 4.88

coins.exe 8 2 3.45 3.45 3.51

coins.exe 8 3 2.77 2.83 2.86

coins.exe 8 4 2.42 2.47 2.50

coins.exe 8 5 2.24 2.26 2.35

coins.exe 8 6 2.06 2.15 3.05

coins.exe 8 7 2.17 2.22 2.23

coins.exe 8 8 1.99 2.02 2.27

coins.exe 8 9 1.94 2.02 2.05

coins.exe 8 10 1.97 2.11 2.25

coins.exe 8 11 2.18 2.21 2.27

coins.exe 8 12 2.14 2.28 2.39

coins.exe 8 13 2.40 2.69 4.19

coins.exe 8 14 2.23 2.34 2.49

coins.exe 8 15 2.25 2.38 2.38

coins.exe 8 16 2.46 2.63 2.93



# *** Config [112 ..], testing with command/args: queens.exe 14 
queens.exe 14 1 16.65 16.79 17.08

queens.exe 14 2 8.91 8.96 8.97

queens.exe 14 3 6.35 6.37 6.42

queens.exe 14 4 5.36 5.46 6.61

queens.exe 14 5 4.30 4.42 4.43

queens.exe 14 6 4.94 5.38 5.45

queens.exe 14 7 3.92 3.98 3.99

queens.exe 14 8 4.20 5.36 5.80

queens.exe 14 9 4.12 4.90 6.96

queens.exe 14 10 3.41 5.18 5.88

queens.exe 14 11 3.38 3.85 4.36

queens.exe 14 12 2.65 3.48 3.76

queens.exe 14 13 4.45 5.19 5.69

queens.exe 14 14 2.99 3.15 6.11

queens.exe 14 15 3.16 3.53 5.66

queens.exe 14 16 3.32 4.43 4.85



# *** Config [128 ..], testing with command/args: stream/disjoint_working_sets_pipeline.exe monad 4 256 10 10000 
stream/disjoint_working_sets_pipeline.exe monad 1 4.08 4.13 119.07

stream/disjoint_working_sets_pipeline.exe monad 2 4.54 4.67 5.17

stream/disjoint_working_sets_pipeline.exe monad 3 5.07 6.67 9.15

stream/disjoint_working_sets_pipeline.exe monad 4 4.70 4.95 5.05

stream/disjoint_working_sets_pipeline.exe monad 5 4.83 5.04 5.41

stream/disjoint_working_sets_pipeline.exe monad 6 5.23 5.27 5.30

stream/disjoint_working_sets_pipeline.exe monad 7 4.82 5.19 5.81

stream/disjoint_working_sets_pipeline.exe monad 8 5.70 6.08 6.12

stream/disjoint_working_sets_pipeline.exe monad 9 5.54 5.62 6.65

stream/disjoint_working_sets_pipeline.exe monad 10 5.72 6.06 6.52

stream/disjoint_working_sets_pipeline.exe monad 11 5.78 6.25 6.36

stream/disjoint_working_sets_pipeline.exe monad 12 5.82 6.11 6.29

stream/disjoint_working_sets_pipeline.exe monad 13 5.79 6.27 6.70

stream/disjoint_working_sets_pipeline.exe monad 14 6.48 6.77 6.99

stream/disjoint_working_sets_pipeline.exe monad 15 6.14 6.24 6.71

stream/disjoint_working_sets_pipeline.exe monad 16 6.47 6.61 7.01



# *** Config [144 ..], testing with command/args: stream/disjoint_working_sets_pipeline.exe sparks 4 256 10 10000 
stream/disjoint_working_sets_pipeline.exe sparks 1 3.32 3.35 3.48

stream/disjoint_working_sets_pipeline.exe sparks 2 5.22 5.70 5.76

stream/disjoint_working_sets_pipeline.exe sparks 3 5.01 5.15 5.75

stream/disjoint_working_sets_pipeline.exe sparks 4 6.03 6.03 6.09

stream/disjoint_working_sets_pipeline.exe sparks 5 7.53 12.67 14.00

stream/disjoint_working_sets_pipeline.exe sparks 6 7.91 7.96 13.01

stream/disjoint_working_sets_pipeline.exe sparks 7 7.30 11.27 13.23

stream/disjoint_working_sets_pipeline.exe sparks 8 8.22 9.03 9.74

stream/disjoint_working_sets_pipeline.exe sparks 9 8.61 8.90 10.99

stream/disjoint_working_sets_pipeline.exe sparks 10 7.60 9.06 11.98

stream/disjoint_working_sets_pipeline.exe sparks 11 8.23 12.48 14.77

stream/disjoint_working_sets_pipeline.exe sparks 12 8.23 13.31 14.11

stream/disjoint_working_sets_pipeline.exe sparks 13 9.12 9.85 10.14

stream/disjoint_working_sets_pipeline.exe sparks 14 9.61 12.46 17.04

stream/disjoint_working_sets_pipeline.exe sparks 15 10.57 15.87 16.17

stream/disjoint_working_sets_pipeline.exe sparks 16 11.39 12.74 15.14



# *** Config [160 ..], testing with command/args: partree/partree.exe 600 20 
partree/partree.exe 600 1 3.37 3.38 3.38

partree/partree.exe 600 2 4.72 5.48 5.52

partree/partree.exe 600 3 5.53 7.23 7.25

partree/partree.exe 600 4 6.13 6.23 8.60

partree/partree.exe 600 5 6.64 7.22 9.22

partree/partree.exe 600 6 6.96 7.20 7.58

partree/partree.exe 600 7 7.81 8.01 12.21

partree/partree.exe 600 8 7.73 8.26 10.99

partree/partree.exe 600 9 7.54 8.66 10.08

partree/partree.exe 600 10 8.42 8.88 10.39

partree/partree.exe 600 11 11.33 13.24 13.90

partree/partree.exe 600 12 9.72 9.89 14.06

partree/partree.exe 600 13 9.35 9.94 16.13

partree/partree.exe 600 14 10.57 14.41 15.72

partree/partree.exe 600 15 11.99 12.38 13.48

partree/partree.exe 600 16 12.09 13.28 14.36



# *** Config [176 ..], testing with command/args: matmult/matmult.exe 768 0 64 
matmult/matmult.exe 768 1 13.50 13.83 13.96

matmult/matmult.exe 768 2 7.36 9.04 9.17

matmult/matmult.exe 768 3 5.44 7.66 11.32

matmult/matmult.exe 768 4 4.29 4.35 10.54

matmult/matmult.exe 768 5 3.40 5.64 5.82

matmult/matmult.exe 768 6 3.00 3.10 5.09

matmult/matmult.exe 768 7 2.82 4.85 9.98

matmult/matmult.exe 768 8 2.60 2.62 8.61

matmult/matmult.exe 768 9 2.49 4.34 10.20

matmult/matmult.exe 768 10 2.17 3.41 7.96

matmult/matmult.exe 768 11 2.23 2.29 9.69

matmult/matmult.exe 768 12 3.48 3.69 8.82

matmult/matmult.exe 768 13 1.91 1.96 6.02

matmult/matmult.exe 768 14 2.08 2.21 3.32

matmult/matmult.exe 768 15 7.41 8.08 9.04

matmult/matmult.exe 768 16 2.41 7.48 8.59



# *** Config [192 ..], testing with command/args: sumeuler/sumeuler.exe 38 8000 100 
sumeuler/sumeuler.exe 38 1 6.00 6.00 6.00

sumeuler/sumeuler.exe 38 2 3.15 3.15 3.17

sumeuler/sumeuler.exe 38 3 2.20 2.23 2.23

sumeuler/sumeuler.exe 38 4 1.69 1.71 1.76

sumeuler/sumeuler.exe 38 5 1.41 1.41 1.47

sumeuler/sumeuler.exe 38 6 1.20 1.22 1.26

sumeuler/sumeuler.exe 38 7 1.08 1.10 1.15

sumeuler/sumeuler.exe 38 8 1.00 1.01 1.04

sumeuler/sumeuler.exe 38 9 0.97 1.04 1.05

sumeuler/sumeuler.exe 38 10 0.86 0.96 1.01

sumeuler/sumeuler.exe 38 11 0.83 0.86 0.88

sumeuler/sumeuler.exe 38 12 0.79 0.84 0.86

sumeuler/sumeuler.exe 38 13 0.79 0.82 0.84

sumeuler/sumeuler.exe 38 14 0.76 0.77 0.78

sumeuler/sumeuler.exe 38 15 0.74 0.80 0.85

sumeuler/sumeuler.exe 38 16 0.76 0.76 0.79



