# TestName Variant NumThreads   MinTime MedianTime MaxTime
# Mon Oct 3 00:06:13 EDT 2011
# Linux wasp 2.6.38-10-generic #46-Ubuntu SMP Tue Jun 28 15:07:17 UTC 2011 x86_64 x86_64 x86_64 GNU/Linux
# The Glorious Glasgow Haskell Compilation System, version 7.2.1
# Running each test for 3 trials.
#  ... with default compiler options:  -O2 -rtsopts
#  ... with default runtime options:  -qa
# Benchmarks_File: benchlist.txt
# Benchmarks_Variant: desktop
# Benchmarks_Version: 1.0
# *** Config [0 ..], testing with command/args: parfib.exe monad 36 
 # ERROR: compilation failed.
 #      Error code 1 Params:  -O2 -rtsopts, RTS  -qa 
 # ERROR: run_all_tests this test failed completely: stream/disjoint_working_sets_pipeline.exe
 #      Error code 127 Params:  -O2 -rtsopts, RTS  -qa 
stream/disjoint_working_sets_pipeline.exe monad 6 ERR ERR ERR

 # ERROR: compilation failed.
 #      Error code 1 Params:  -O2 -rtsopts, RTS  -qa 
 # ERROR: run_all_tests this test failed completely: stream/disjoint_working_sets_pipeline.exe
 #      Error code 127 Params:  -O2 -rtsopts, RTS  -qa 
stream/disjoint_working_sets_pipeline.exe monad 7 ERR ERR ERR

 # ERROR: compilation failed.
 #      Error code 1 Params:  -O2 -rtsopts, RTS  -qa 
 # ERROR: run_all_tests this test failed completely: stream/disjoint_working_sets_pipeline.exe
 #      Error code 127 Params:  -O2 -rtsopts, RTS  -qa 
stream/disjoint_working_sets_pipeline.exe monad 8 ERR ERR ERR



# *** Config [64 ..], testing with command/args: stream/disjoint_working_sets_pipeline.exe sparks 4 256 10 10000 
 # ERROR: compilation failed.
 #      Error code 1 Params:  -O2 -rtsopts, RTS  -qa 
 # ERROR: run_all_tests this test failed completely: stream/disjoint_working_sets_pipeline.exe
 #      Error code 127 Params:  -O2 -rtsopts, RTS  -qa 
stream/disjoint_working_sets_pipeline.exe sparks 1 ERR ERR ERR

 # ERROR: compilation failed.
 #      Error code 1 Params:  -O2 -rtsopts, RTS  -qa 
 # ERROR: run_all_tests this test failed completely: stream/disjoint_working_sets_pipeline.exe
 #      Error code 127 Params:  -O2 -rtsopts, RTS  -qa 
stream/disjoint_working_sets_pipeline.exe sparks 2 ERR ERR ERR

 # ERROR: compilation failed.
 #      Error code 1 Params:  -O2 -rtsopts, RTS  -qa 
 # ERROR: run_all_tests this test failed completely: stream/disjoint_working_sets_pipeline.exe
 #      Error code 127 Params:  -O2 -rtsopts, RTS  -qa 
stream/disjoint_working_sets_pipeline.exe sparks 3 ERR ERR ERR

 # ERROR: compilation failed.
 #      Error code 1 Params:  -O2 -rtsopts, RTS  -qa 
 # ERROR: run_all_tests this test failed completely: stream/disjoint_working_sets_pipeline.exe
 #      Error code 127 Params:  -O2 -rtsopts, RTS  -qa 
stream/disjoint_working_sets_pipeline.exe sparks 4 ERR ERR ERR

 # ERROR: compilation failed.
 #      Error code 1 Params:  -O2 -rtsopts, RTS  -qa 
 # ERROR: run_all_tests this test failed completely: stream/disjoint_working_sets_pipeline.exe
 #      Error code 127 Params:  -O2 -rtsopts, RTS  -qa 
stream/disjoint_working_sets_pipeline.exe sparks 5 ERR ERR ERR

 # ERROR: compilation failed.
 #      Error code 1 Params:  -O2 -rtsopts, RTS  -qa 
